customer_id,customer_name,market,preferred_language,first_order_date,orders_count,is_subscriber
CUS-0078,Sari Susanto,ID,id,2025-02-04,7,False
CUS-0079,Nurin Chong,MY,zh,2024-11-22,4,True
CUS-0080,Aisyah Balakrishnan,MY,ms,2024-04-16,8,False
CUS-0081,Nurul Chua,SG,en,2026-07-31,1,False
CUS-0082,Andi Halim,ID,id,2025-07-29,8,True
CUS-0083,Clara Nair,SG,sg,2024-09-10,10,True
CUS-0084,Arun Chua,SG,zh,2026-03-25,7,False
CUS-0085,Andi Kusuma,ID,id,2024-11-04,9,False
CUS-0086,Nurul Wong,SG,en,2026-04-23,6,True
CUS-0087,Siti Balakrishnan,MY,ms,2026-06-29,1,False
CUS-0088,Andi Pratama,ID,id,2024-04-16,7,True
CUS-0089,Sari Susanto,ID,id,2025-08-19,7,False
CUS-0090,Intan Halim,ID,id,2025-05-31,6,True
CUS-0091,Farah Lim,MY,ms,2026-04-13,9,False
CUS-0092,Rizky Wijaya,ID,id,2026-06-28,13,True
CUS-0093,Bayu Kusuma,ID,id,2024-06-24,1,True
CUS-0094,Zulkifli Ismail,MY,ms,2025-04-26,13,False
CUS-0095,Dewi Pratama,ID,id,2026-06-09,6,True
CUS-0096,Putri Kusuma,ID,id,2025-05-20,11,False
CUS-0097,Jason Chua,SG,en,2024-11-18,5,False
CUS-0098,Mei Yee Balakrishnan,MY,ms,2024-07-16,2,False
CUS-0099,Farah Chong,MY,en,2025-12-23,9,False
CUS-0100,Shafiq Lee,SG,en,2026-07-11,2,False
CUS-0101,Sari Nugroho,ID,id,2024-10-22,5,False
CUS-0102,Aisyah Yusof,MY,zh,2026-02-08,10,False
CUS-0103,Andi Nugroho,ID,en,2025-12-05,4,False
CUS-0104,Daniel Chong,MY,ms,2025-04-29,12,False
CUS-0105,Bayu Susanto,ID,id,2024-09-03,5,False
CUS-0106,Daniel Abdullah,MY,en,2025-07-14,13,False
CUS-0107,Wei Ling Lee,SG,sg,2024-05-27,13,True
CUS-0108,Wei Ling Nair,SG,en,2024-05-20,12,False
CUS-0109,Bayu Kusuma,ID,id,2025-10-13,2,True
CUS-0110,Sari Halim,ID,id,2025-11-12,13,True
CUS-0111,Jason Tan,SG,en,2024-10-31,6,False
CUS-0112,Dewi Susanto,ID,id,2025-10-14,9,False
CUS-0113,Bayu Wijaya,ID,id,2026-05-14,7,False
CUS-0114,Nurin Ismail,MY,en,2026-07-11,4,False
CUS-0115,Wei Ling Tan,SG,en,2025-08-18,3,True
CUS-0116,Rizky Nugroho,ID,id,2026-08-01,3,False
CUS-0117,Nurul Lee,SG,sg,2024-11-06,13,True
CUS-0118,Agus Halim,ID,en,2024-08-28,2,False
CUS-0119,Jason Wong,SG,en,2025-02-21,4,False
CUS-0120,Agus Susanto,ID,id,2024-07-12,8,False
CUS-0121,Zulkifli Balakrishnan,MY,en,2025-06-12,5,False
CUS-0122,Rizky Kusuma,ID,id,2024-05-20,7,False
CUS-0123,Andi Susanto,ID,id,2026-06-08,13,False
CUS-0124,Clara Chua,SG,en,2026-07-30,7,False
CUS-0125,Zulkifli Ismail,MY,en,2024-04-17,7,False
CUS-0126,Sari Halim,ID,id,2026-07-23,5,False
CUS-0127,Arun Rahman,SG,sg,2024-11-15,4,False
CUS-0128,Shafiq Rahman,SG,en,2024-12-13,7,False
CUS-0129,Agus Kusuma,ID,id,2026-01-01,5,False
CUS-0130,Siti Yusof,MY,ms,2025-04-12,6,True
CUS-0131,Daniel Balakrishnan,MY,ms,2026-03-03,10,True
CUS-0132,Jason Wong,SG,sg,2025-06-12,13,False
CUS-0133,Intan Susanto,ID,id,2026-07-22,9,False
CUS-0134,Wei Ling Nair,SG,sg,2025-12-01,1,False
CUS-0135,Priya Nair,SG,en,2025-10-15,11,True
CUS-0136,Nurul Nair,SG,en,2025-08-21,9,False
CUS-0137,Clara Chua,SG,en,2026-02-14,11,False
CUS-0138,Clara Nair,SG,sg,2025-04-05,7,False
CUS-0139,Mei Nair,SG,en,2026-04-22,9,False
CUS-0140,Jason Chua,SG,zh,2024-06-09,7,False
CUS-0141,Hafiz Abdullah,MY,en,2025-11-05,4,False
CUS-0142,Farah Abdullah,MY,en,2025-01-20,3,False
CUS-0143,Nurul Wong,SG,zh,2024-09-24,3,True
CUS-0144,Nurul Wong,SG,en,2024-03-13,6,False
CUS-0145,Shafiq Nair,SG,sg,2026-06-30,11,False
CUS-0146,Mei Nair,SG,en,2024-10-17,7,False
CUS-0147,Putri Halim,ID,id,2025-06-24,5,False
CUS-0148,Nurul Rahman,SG,en,2024-10-02,2,True
CUS-0149,Bayu Susanto,ID,id,2024-07-31,9,False
CUS-0150,Aisyah Abdullah,MY,zh,2026-07-23,2,False
CUS-0151,Nurin Lim,MY,en,2026-02-26,7,False
CUS-0152,Bayu Halim,ID,id,2024-11-02,4,True
CUS-0153,Bayu Halim,ID,id,2024-08-24,3,False
CUS-0154,Putri Nugroho,ID,id,2026-06-10,11,False
CUS-0155,Zulkifli Ismail,MY,ms,2025-03-20,10,True
CUS-0156,Shafiq Lee,SG,sg,2024-08-04,8,False
CUS-0157,Shafiq Tan,SG,en,2025-05-01,10,False
CUS-0158,Clara Tan,SG,en,2025-07-01,12,False
CUS-0159,Zulkifli Ismail,MY,en,2024-12-02,11,False
CUS-0160,Zulkifli Balakrishnan,MY,ms,2024-11-29,5,True
CUS-0161,Wei Ling Lee,SG,sg,2024-05-10,2,True
CUS-0162,Rizky Kusuma,ID,id,2024-05-29,7,False
CUS-0163,Arun Rahman,SG,sg,2026-03-29,12,False
CUS-0164,Sari Pratama,ID,id,2024-12-14,13,True
CUS-0165,Aisyah Abdullah,MY,ms,2025-03-16,9,False
CUS-0166,Hafiz Chong,MY,ms,2024-06-19,9,False
CUS-0167,Dewi Wijaya,ID,id,2026-02-01,2,False
CUS-0168,Clara Tan,SG,sg,2024-12-19,10,False
CUS-0169,Jason Tan,SG,en,2024-09-25,8,False
CUS-0170,Intan Susanto,ID,id,2025-09-09,1,False
CUS-0171,Andi Nugroho,ID,id,2025-06-07,4,True
CUS-0172,Andi Nugroho,ID,id,2024-06-09,12,False
CUS-0173,Mei Yee Abdullah,MY,en,2025-02-15,1,True
CUS-0174,Bayu Halim,ID,en,2025-09-20,7,False
CUS-0175,Arun Nair,SG,en,2026-03-06,13,False
CUS-0176,Putri Nugroho,ID,id,2025-02-23,11,False
CUS-0177,Sari Nugroho,ID,id,2025-06-09,5,False
CUS-0178,Farah Ismail,MY,ms,2025-09-17,2,False
CUS-0179,Zulkifli Yusof,MY,ms,2024-09-08,3,False
CUS-0180,Agus Wijaya,ID,en,2026-04-13,10,False
CUS-0181,Rizky Halim,ID,id,2025-01-18,4,False
CUS-0182,Shafiq Lee,SG,en,2025-10-11,1,False
CUS-0183,Jason Tan,SG,sg,2025-04-12,7,False
CUS-0184,Priya Tan,SG,sg,2025-06-28,10,False
CUS-0185,Bayu Halim,ID,id,2025-09-06,9,False
CUS-0186,Daniel Abdullah,MY,en,2025-10-10,1,False
CUS-0187,Dewi Halim,ID,en,2026-06-06,2,False
CUS-0188,Putri Susanto,ID,id,2024-12-18,7,False
CUS-0189,Hafiz Yusof,MY,ms,2026-03-11,10,False
CUS-0190,Nurin Abdullah,MY,ms,2024-05-28,8,False
CUS-0191,Wei Ling Tan,SG,en,2026-01-03,10,False
CUS-0192,Clara Wong,SG,zh,2024-03-27,8,True
CUS-0193,Arun Chua,SG,en,2026-07-13,6,False
CUS-0194,Aisyah Lim,MY,zh,2025-07-04,13,False
CUS-0195,Intan Susanto,ID,id,2025-10-10,8,False
CUS-0196,Arun Wong,SG,sg,2024-04-13,11,False
CUS-0197,Intan Nugroho,ID,id,2026-04-26,13,False
CUS-0198,Aisyah Lim,MY,ms,2024-10-23,9,False
CUS-0199,Nurul Wong,SG,sg,2025-12-05,6,False
CUS-0200,Nurin Lim,MY,ms,2025-06-22,13,True
CUS-0201,Intan Susanto,ID,en,2026-03-06,3,True
CUS-0202,Andi Kusuma,ID,id,2025-07-05,13,True
CUS-0203,Hafiz Balakrishnan,MY,ms,2025-08-06,11,False
CUS-0204,Mei Yee Balakrishnan,MY,ms,2024-09-06,11,False
CUS-0205,Nurul Nair,SG,sg,2024-06-08,1,False
CUS-0206,Rizky Wijaya,ID,id,2024-11-19,7,False
CUS-0207,Hafiz Chong,MY,en,2026-05-08,4,False
CUS-0208,Dewi Nugroho,ID,id,2026-03-03,12,False
CUS-0209,Arun Tan,SG,en,2024-03-26,7,False
CUS-0210,Jason Tan,SG,sg,2026-05-07,3,False
CUS-0211,Dewi Susanto,ID,id,2024-09-19,8,True
CUS-0212,Mei Rahman,SG,sg,2024-07-28,3,True
CUS-0213,Farah Chong,MY,ms,2024-10-09,13,False
CUS-0214,Rizky Kusuma,ID,en,2025-04-09,13,False
CUS-0215,Intan Pratama,ID,en,2026-02-21,11,False
CUS-0216,Intan Pratama,ID,id,2025-04-21,2,False
CUS-0217,Nurul Nair,SG,en,2025-07-04,10,False
CUS-0218,Wei Ling Wong,SG,sg,2024-10-23,9,False
CUS-0219,Wei Ling Tan,SG,en,2024-04-27,3,False
CUS-0220,Nurul Tan,SG,en,2026-03-18,4,False
CUS-0221,Rizky Halim,ID,id,2025-02-14,12,False
CUS-0222,Mei Yee Chong,MY,zh,2025-06-19,6,False
CUS-0223,Mei Yee Abdullah,MY,en,2025-02-11,2,True
CUS-0224,Farah Balakrishnan,MY,ms,2025-09-23,5,False
CUS-0225,Arun Chua,SG,en,2025-10-28,2,False
CUS-0226,Mei Lee,SG,sg,2024-09-22,10,False
CUS-0227,Mei Chua,SG,sg,2025-02-09,13,False
CUS-0228,Andi Kusuma,ID,id,2025-01-23,1,False
CUS-0229,Mei Yee Chong,MY,ms,2024-09-23,5,True
CUS-0230,Intan Halim,ID,en,2025-07-02,3,False
CUS-0231,Farah Ismail,MY,zh,2024-08-25,4,True
CUS-0232,Aisyah Abdullah,MY,ms,2024-07-20,9,False
CUS-0233,Zulkifli Yusof,MY,ms,2025-03-18,7,True
CUS-0234,Sari Susanto,ID,id,2025-09-07,3,False
CUS-0235,Clara Rahman,SG,sg,2025-01-09,10,False
CUS-0236,Mei Yee Abdullah,MY,ms,2026-05-21,13,False
CUS-0237,Dewi Wijaya,ID,id,2025-08-09,11,False
CUS-0238,Wei Ling Wong,SG,en,2025-03-03,10,False
CUS-0239,Siti Abdullah,MY,ms,2026-05-18,4,False
CUS-0240,Mei Wong,SG,en,2026-04-07,5,True
CUS-0241,Intan Halim,ID,en,2024-04-15,4,True
CUS-0242,Shafiq Lee,SG,sg,2024-03-16,7,False
CUS-0243,Rizky Pratama,ID,id,2026-03-23,3,True
CUS-0244,Aisyah Ismail,MY,ms,2024-12-19,3,False
CUS-0245,Siti Chong,MY,ms,2025-02-21,3,False
CUS-0246,Daniel Chong,MY,ms,2024-10-20,4,True
CUS-0247,Bayu Kusuma,ID,id,2025-02-26,13,False
CUS-0248,Wei Ling Nair,SG,en,2025-11-26,9,False
CUS-0249,Wei Ling Nair,SG,en,2024-11-26,4,False
CUS-0250,Zulkifli Yusof,MY,ms,2024-05-20,11,False
CUS-0251,Dewi Halim,ID,en,2025-09-05,12,False
CUS-0252,Aisyah Chong,MY,en,2026-07-03,8,True
CUS-0253,Jason Lee,SG,en,2026-01-04,13,False
CUS-0254,Intan Halim,ID,id,2025-08-19,7,False
CUS-0255,Clara Wong,SG,zh,2026-06-05,6,False
CUS-0256,Nurin Lim,MY,zh,2024-06-14,2,False
CUS-0257,Priya Rahman,SG,zh,2025-01-29,1,False
CUS-0258,Sari Kusuma,ID,id,2024-06-14,5,True
CUS-0259,Daniel Lim,MY,ms,2024-07-09,2,False
CUS-0260,Nurul Lee,SG,en,2025-02-11,5,False
CUS-0261,Zulkifli Abdullah,MY,ms,2025-11-21,4,False
CUS-0262,Shafiq Rahman,SG,en,2025-05-10,2,False
CUS-0263,Intan Nugroho,ID,en,2026-02-16,9,False
CUS-0264,Farah Abdullah,MY,ms,2025-05-12,1,False
CUS-0265,Nurul Nair,SG,en,2025-06-25,1,False
CUS-0266,Mei Tan,SG,en,2024-06-20,10,True
CUS-0267,Bayu Susanto,ID,id,2025-06-23,8,False
CUS-0268,Arun Wong,SG,sg,2026-06-28,4,False
CUS-0269,Nurin Balakrishnan,MY,en,2025-06-19,13,False
CUS-0270,Hafiz Balakrishnan,MY,ms,2025-04-15,5,False
CUS-0271,Clara Rahman,SG,zh,2024-08-07,9,False
CUS-0272,Jason Rahman,SG,sg,2025-04-09,1,False
CUS-0273,Nurul Chua,SG,en,2026-02-11,12,False
CUS-0274,Intan Susanto,ID,id,2025-08-18,4,True
CUS-0275,Andi Halim,ID,id,2025-01-29,13,True
CUS-0276,Nurin Abdullah,MY,en,2024-08-28,4,False
CUS-0277,Bayu Pratama,ID,id,2026-03-05,12,False
CUS-0278,Siti Ismail,MY,ms,2025-12-12,3,True
CUS-0279,Daniel Ismail,MY,zh,2025-03-19,2,False
CUS-0280,Mei Yee Balakrishnan,MY,ms,2025-08-24,2,False
CUS-0281,Sari Wijaya,ID,en,2024-09-08,5,False
CUS-0282,Siti Yusof,MY,en,2024-08-23,7,False
CUS-0283,Siti Ismail,MY,ms,2024-05-22,7,False
CUS-0284,Arun Nair,SG,en,2025-12-14,11,False
CUS-0285,Clara Lee,SG,en,2025-05-25,2,False
CUS-0286,Putri Pratama,ID,en,2025-09-03,4,False
CUS-0287,Wei Ling Wong,SG,en,2024-10-19,10,False
CUS-0288,Nurin Ismail,MY,zh,2025-10-02,3,False
CUS-0289,Sari Nugroho,ID,id,2025-07-03,7,True
CUS-0290,Dewi Susanto,ID,id,2026-01-16,10,False
CUS-0291,Clara Chua,SG,zh,2025-05-22,9,False
CUS-0292,Priya Lee,SG,en,2024-06-27,3,True
CUS-0293,Daniel Ismail,MY,en,2025-08-30,2,False
CUS-0294,Putri Halim,ID,id,2024-11-08,2,False
CUS-0295,Jason Tan,SG,en,2024-06-21,9,False
CUS-0296,Aisyah Abdullah,MY,en,2025-03-17,2,False
CUS-0297,Mei Yee Ismail,MY,ms,2026-03-03,10,False
CUS-0298,Arun Rahman,SG,zh,2026-07-27,2,False
CUS-0299,Sari Wijaya,ID,en,2024-05-18,5,False
CUS-0300,Bayu Susanto,ID,id,2025-08-17,2,False
CUS-0301,Daniel Chong,MY,ms,2025-06-10,4,False
CUS-0302,Siti Balakrishnan,MY,ms,2026-05-21,2,False
CUS-0303,Intan Pratama,ID,id,2024-06-21,4,False
CUS-0304,Intan Pratama,ID,en,2026-06-25,10,False
CUS-0305,Agus Pratama,ID,id,2025-06-24,1,True
CUS-0306,Rizky Halim,ID,id,2024-04-24,7,False
CUS-0307,Sari Susanto,ID,en,2024-08-03,6,True
CUS-0308,Shafiq Chua,SG,sg,2024-11-08,5,False
CUS-0309,Siti Yusof,MY,ms,2026-03-16,4,False
CUS-0310,Andi Susanto,ID,id,2026-03-25,12,True
CUS-0311,Intan Nugroho,ID,id,2025-09-17,9,False
CUS-0312,Jason Rahman,SG,en,2024-11-30,11,True
CUS-0313,Priya Wong,SG,sg,2025-11-24,8,True
CUS-0314,Putri Nugroho,ID,id,2026-03-18,7,False
CUS-0315,Nurin Chong,MY,ms,2024-09-23,9,False
CUS-0316,Hafiz Lim,MY,en,2025-02-23,3,False
CUS-0317,Agus Halim,ID,id,2026-01-01,10,False
CUS-0318,Bayu Wijaya,ID,en,2024-10-08,4,True
CUS-0319,Farah Abdullah,MY,ms,2026-05-07,13,False
CUS-0320,Shafiq Nair,SG,en,2024-10-04,2,True
CUS-0321,Hafiz Balakrishnan,MY,ms,2024-09-25,12,False
CUS-0322,Wei Ling Wong,SG,zh,2025-10-04,12,False
CUS-0323,Wei Ling Rahman,SG,en,2025-04-23,3,False
CUS-0324,Priya Nair,SG,sg,2024-05-27,12,False
CUS-0325,Mei Tan,SG,zh,2025-05-19,11,False
CUS-0326,Rizky Kusuma,ID,id,2025-06-07,3,True
CUS-0327,Daniel Ismail,MY,zh,2025-03-18,6,False
CUS-0328,Shafiq Chua,SG,en,2026-01-11,10,False
CUS-0329,Nurin Chong,MY,en,2025-01-30,3,True
CUS-0330,Aisyah Lim,MY,ms,2024-11-30,4,False
CUS-0331,Putri Susanto,ID,id,2024-06-23,3,True
CUS-0332,Daniel Yusof,MY,ms,2025-08-09,12,False
CUS-0333,Putri Kusuma,ID,id,2026-07-24,8,True
CUS-0334,Sari Halim,ID,id,2025-01-23,5,False
CUS-0335,Daniel Ismail,MY,ms,2025-07-23,3,True
CUS-0336,Jason Rahman,SG,sg,2025-03-07,1,True
CUS-0337,Mei Nair,SG,en,2025-05-21,8,False
CUS-0338,Mei Wong,SG,zh,2025-04-23,7,False
CUS-0339,Bayu Nugroho,ID,en,2025-05-04,6,True
CUS-0340,Sari Wijaya,ID,id,2025-08-01,3,True
CUS-0341,Intan Wijaya,ID,id,2025-08-04,4,False
CUS-0342,Sari Pratama,ID,id,2026-05-22,9,True
CUS-0343,Nurin Abdullah,MY,en,2025-11-09,7,False
CUS-0344,Hafiz Chong,MY,ms,2026-07-06,6,False
CUS-0345,Nurul Rahman,SG,en,2026-03-27,10,False
CUS-0346,Priya Wong,SG,zh,2026-04-02,3,False
CUS-0347,Intan Susanto,ID,id,2024-09-26,11,False
CUS-0348,Wei Ling Lee,SG,en,2024-05-09,5,False
CUS-0349,Agus Susanto,ID,id,2025-05-18,12,False
CUS-0350,Dewi Wijaya,ID,id,2025-09-22,7,False
CUS-0351,Aisyah Balakrishnan,MY,en,2025-02-26,7,True
CUS-0352,Putri Susanto,ID,id,2026-07-19,11,False
CUS-0353,Dewi Wijaya,ID,en,2025-03-29,10,True
CUS-0354,Agus Pratama,ID,id,2025-07-27,13,True
CUS-0355,Siti Abdullah,MY,ms,2025-04-26,7,False
CUS-0356,Farah Abdullah,MY,ms,2025-01-15,4,False
CUS-0357,Shafiq Lee,SG,en,2025-08-08,12,False
CUS-0358,Jason Nair,SG,en,2025-04-03,3,False
CUS-0359,Siti Abdullah,MY,zh,2024-07-15,11,False
CUS-0360,Siti Lim,MY,en,2024-06-09,12,False
CUS-0361,Intan Kusuma,ID,id,2024-03-15,11,True
CUS-0362,Daniel Ismail,MY,ms,2026-06-07,12,False
CUS-0363,Andi Kusuma,ID,id,2024-07-03,11,False
CUS-0364,Mei Yee Abdullah,MY,ms,2024-05-16,9,False
CUS-0365,Rizky Nugroho,ID,id,2025-05-21,11,True
CUS-0366,Putri Susanto,ID,id,2025-05-05,3,False
CUS-0367,Jason Tan,SG,en,2024-04-04,6,False
CUS-0368,Priya Rahman,SG,sg,2024-04-15,6,False
CUS-0369,Shafiq Rahman,SG,en,2024-12-29,8,False
CUS-0370,Nurul Rahman,SG,sg,2026-07-16,1,False
CUS-0371,Sari Kusuma,ID,id,2025-11-02,5,False
CUS-0372,Zulkifli Ismail,MY,en,2024-05-19,8,False
CUS-0373,Priya Rahman,SG,en,2024-07-09,12,False
CUS-0374,Bayu Nugroho,ID,id,2024-06-01,10,False
CUS-0375,Siti Yusof,MY,zh,2024-08-22,4,False
CUS-0376,Aisyah Lim,MY,ms,2026-07-27,13,True
CUS-0377,Clara Nair,SG,sg,2024-10-20,6,False
CUS-0378,Daniel Abdullah,MY,ms,2026-07-18,7,False
CUS-0379,Clara Chua,SG,zh,2026-05-29,13,False
CUS-0380,Shafiq Lee,SG,sg,2024-04-28,1,False
CUS-0381,Zulkifli Ismail,MY,zh,2025-08-14,4,False
CUS-0382,Aisyah Abdullah,MY,ms,2026-03-29,6,False
CUS-0383,Agus Halim,ID,id,2025-05-20,9,False
CUS-0384,Rizky Wijaya,ID,id,2025-01-20,1,False
CUS-0385,Andi Halim,ID,id,2024-04-30,3,False
CUS-0386,Shafiq Rahman,SG,en,2025-09-13,11,False
CUS-0387,Intan Susanto,ID,id,2025-02-25,13,False
CUS-0388,Agus Nugroho,ID,en,2024-11-09,6,False
CUS-0389,Nurul Nair,SG,en,2026-04-13,7,False
CUS-0390,Wei Ling Rahman,SG,sg,2025-12-25,8,False
CUS-0391,Nurin Ismail,MY,ms,2026-07-21,11,False
CUS-0392,Farah Lim,MY,ms,2024-07-07,11,False
CUS-0393,Dewi Susanto,ID,id,2024-12-11,13,True
CUS-0394,Nurul Wong,SG,en,2025-09-04,11,False
CUS-0395,Dewi Susanto,ID,en,2025-07-09,6,True
CUS-0396,Siti Abdullah,MY,ms,2024-03-31,3,False
CUS-0397,Sari Wijaya,ID,id,2026-02-19,2,False
CUS-0398,Nurul Nair,SG,sg,2024-05-29,12,False
CUS-0399,Arun Tan,SG,en,2025-04-13,5,True
CUS-0400,Zulkifli Yusof,MY,ms,2025-12-22,8,True
CUS-0401,Priya Chua,SG,en,2024-07-03,7,True
CUS-0402,Wei Ling Tan,SG,en,2026-03-17,10,False
CUS-0403,Aisyah Chong,MY,zh,2026-07-31,12,False
CUS-0404,Agus Wijaya,ID,id,2025-12-02,3,False
CUS-0405,Clara Lee,SG,en,2025-12-20,13,True
CUS-0406,Clara Nair,SG,en,2024-08-23,8,False
CUS-0407,Arun Lee,SG,zh,2024-12-09,12,False
CUS-0408,Mei Chua,SG,en,2024-10-02,2,False
CUS-0409,Intan Kusuma,ID,id,2025-05-15,12,False
CUS-0410,Jason Chua,SG,sg,2026-07-20,1,False
CUS-0411,Rizky Kusuma,ID,id,2026-01-25,6,False
CUS-0412,Mei Nair,SG,en,2025-12-31,7,False
CUS-0413,Mei Lee,SG,en,2025-08-05,6,False
CUS-0414,Nurul Rahman,SG,sg,2026-05-05,11,False
CUS-0415,Siti Lim,MY,en,2024-04-23,4,False
CUS-0416,Mei Tan,SG,en,2026-03-21,7,False
CUS-0417,Intan Halim,ID,id,2024-11-14,6,True
CUS-0418,Wei Ling Nair,SG,sg,2026-03-29,5,False
CUS-0419,Dewi Susanto,ID,id,2025-04-22,5,True
CUS-0420,Bayu Wijaya,ID,id,2025-03-28,7,False
CUS-0421,Bayu Wijaya,ID,en,2026-06-25,6,True
CUS-0422,Priya Lee,SG,sg,2024-11-11,1,False
CUS-0423,Shafiq Rahman,SG,en,2025-01-31,4,True
CUS-0424,Agus Pratama,ID,id,2025-02-12,3,False
CUS-0425,Priya Rahman,SG,en,2025-10-28,3,False
CUS-0426,Agus Nugroho,ID,id,2025-06-28,7,False
CUS-0427,Putri Halim,ID,id,2025-09-02,2,False
CUS-0428,Shafiq Lee,SG,en,2025-10-13,1,False
CUS-0429,Intan Pratama,ID,id,2025-01-17,5,False
CUS-0430,Bayu Halim,ID,id,2024-06-15,10,False
CUS-0431,Rizky Halim,ID,id,2025-04-19,1,False
CUS-0432,Mei Yee Yusof,MY,ms,2025-09-05,10,True
CUS-0433,Agus Nugroho,ID,en,2025-02-07,1,False
